nodes, ppn, walltime
2,1,20.6342
2,3,13.4528
2,6,12.7726
2,9,12.3110
2,12,12.1676
5,1,15.3805
5,3,0
5,6,13.0313
5,9,13.9131
5,12,13.7731
8,1,0
8,3,13.6843
8,6,13.8871
8,9,13.6539
8,12,13.9288
11,1,14.2911
11,3,13.5116
11,6,13.5506
11,9,13.9854
11,12,17.5328
14,1,14.1020
14,3,13.3584
14,6,13.8288
14,9,13.8918
14,12,14.4322
17,1,13.8182
17,3,13.3363
17,6,14.4410
17,9,13.9658
17,12,14.1953
20,1,13.7169
20,3,13.5443
20,6,13.7996
20,9,14.9490
20,12,14.8236
23,1,65.2588
23,3,65.0356
23,6,65.3924
23,9,65.7037
23,12,66.9941
26,1,14.7425
26,3,14.4379
26,6,15.2300
26,9,17.1157
26,12,16.1512
29,1,14.7834
29,3,14.9456
29,6,15.1288
29,9,15.3092
29,12,15.9506
2,1,21.3470
2,3,13.8183
2,6,13.4444
2,9,12.8785
2,12,12.3291
5,1,15.6191
5,3,14.3076
5,6,13.5208
5,9,13.5973
5,12,13.3970
8,1,14.6171
8,3,15.0753
8,6,13.6299
8,9,13.7120
8,12,13.7382
11,1,14.2187
11,3,13.5112
11,6,13.5169
11,9,14.3123
11,12,14.2129
14,1,14.3391
14,3,13.3547
14,6,13.7331
14,9,14.0024
14,12,14.0691
17,1,13.8823
17,3,13.3503
17,6,13.8597
17,9,14.1294
17,12,14.1219
20,1,13.6799
20,3,13.8655
20,6,13.7190
20,9,0
20,12,14.5026
23,1,65.2544
23,3,64.9978
23,6,65.2747
23,9,65.3430
23,12,65.6797
26,1,14.9261
26,3,14.5924
26,6,0
26,9,16.0233
26,12,16.3735
29,1,14.6166
29,3,14.5110
29,6,15.0300
29,9,15.3880
29,12,15.9805
2,1,20.6300
2,3,13.2125
2,6,12.7252
2,9,12.3253
2,12,12.1552
5,1,15.5940
5,3,13.6753
5,6,13.0485
5,9,13.5392
5,12,13.1435
8,1,14.5787
8,3,13.3842
8,6,14.0616
8,9,13.7845
8,12,13.4229
11,1,14.2778
11,3,13.6543
11,6,13.4778
11,9,14.5247
11,12,14.1492
14,1,14.1098
14,3,13.4163
14,6,13.7338
14,9,14.0436
14,12,13.9988
17,1,13.8171
17,3,13.3556
17,6,13.7382
17,9,13.9108
17,12,14.4454
20,1,13.7777
20,3,13.7161
20,6,13.6617
20,9,14.3352
20,12,14.3090
23,1,65.2601
23,3,65.0034
23,6,65.2953
23,9,75.7680
23,12,65.5400
26,1,0
26,3,14.4558
26,6,15.3775
26,9,15.5779
26,12,16.2435
29,1,0
29,3,14.4554
29,6,14.8854
29,9,15.8561
29,12,15.8817
